"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Employed persons (5),Employed persons (5),Employed persons (5),Underemployed persons (6),Underemployed persons (6),Underemployed persons (6),Underemployment rate (7),Underemployment rate (7),Underemployment rate (7)
,,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year / Moving 3-month period,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,1998.0,1958.0,3956.0,0.1,1.8,0.9,68.4,55.2,61.1,67.6,56.0,123.6,3.4,2.9,3.1,1930.5,1902.0,3832.4,34.0,11.6,45.7,1.7,0.6,1.2
2018,,2014.9,1981.8,3996.8,0.8,1.2,1.0,68.6,55.3,61.3,64.1,48.0,112.1,3.2,2.4,2.8,1950.8,1933.8,3884.6,32.2,11.0,43.2,1.6,0.6,1.1
2019,,1990.1,1997.6,3987.8,-1.2,0.8,-0.2,67.6,55.1,60.7,70.4,45.9,116.3,3.5,2.3,2.9,1919.7,1951.7,3871.4,30.7,11.3,42.0,1.5,0.6,1.1
2020,,1954.6,1963.8,3918.5,-1.8,-1.7,-1.7,66.3,54.3,59.7,134.5,93.1,227.6,6.9,4.7,5.8,1820.1,1870.8,3690.9,75.1,54.8,129.9,3.8,2.8,3.3
2021,,1923.1,1947.3,3870.4,-1.6,-0.8,-1.2,65.8,54.2,59.4,118.0,82.2,200.3,6.1,4.2,5.2,1805.1,1865.1,3670.2,57.9,41.0,98.9,3.0,2.1,2.6
