,Year,Quarter,A,B,C,D,E,"A, B & C",D & E,All Classes
0,2017,Q1,193.6,176.3,154.9,149.2,142.5,179.9,146.8,176.8
1,2017,Q2,199.6,180.6,159.1,153.5,143.9,184.9,150.2,181.5
2,2017,Q3,204.0,184.1,161.3,155.9,145.1,188.7,152.1,185.1
3,2017,Q4,207.5,185.8,162.1,155.3,144.2,191.1,151.4,187.1
4,2018,Q1,207.8,187.0,162.8,155.7,145.3,191.9,152.1,187.9
5,2018,Q2,211.8,191.7,166.2,157.7,148.6,196.0,154.5,191.9
6,2018,Q3,217.2,196.0,169.1,162.0,150.8,200.5,158.3,196.3
7,2018,Q4,216.9,194.8,168.7,161.3,150.1,199.7,157.6,195.6
8,2019,Q1,213.3,191.0,166.5,160.1,149.8,196.3,156.7,192.4
9,2019,Q2,215.8,194.6,167.6,160.8,149.0,199.2,156.8,195.3
10,2019,Q3,221.0,197.3,168.9,160.7,150.1,202.8,157.2,198.6
11,2019,Q4,211.3,190.5,165.1,156.0,144.4,195.3,152.1,191.3
12,2020,Q1,202.2,184.2,158.2,151.5,140.8,187.8,148.0,184.1
13,2020,Q2,197.1,179.4,154.6,147.8,135.8,182.9,143.8,179.2
14,2020,Q3,198.7,181.5,154.6,147.3,133.3,184.3,142.5,180.2
15,2020,Q4,194.8,179.2,154.1,147.3,134.8,181.6,143.0,177.8
16,2021,Q1,191.7,176.5,152.5,145.2,132.6,179.0,140.7,175.1
17,2021,Q2,195.1,179.6,155.7,147.9,136.8,182.3,143.9,178.4
18,2021,Q3,199.2,184.1,157.9,148.6,136.3,186.7,144.3,182.4
19,2021,Q4,200.7,183.4,158.1,150.8,140.3,187.1,147.0,183.3
20,2022,Q1,196.1,179.3,156.5,151.0,140.0,183.2,147.2,179.9
21,2022,Q2,194.0,176.8,152.7,149.6,139.6,180.7,146.2,177.7
22,2022,Q3,196.9,177.5,152.3,145.7,133.9,182.1,141.9,178.8
23,2022,Q4,195.8,174.2,150.2,144.3,134.9,179.7,141.4,176.6
24,2023,Q1,194.1,172.7,148.3,144.1,131.4,178.0,140.2,175.0
25,2023,Q2,199.5,177.5,153.2,148.5,135.8,182.9,144.4,179.8
26,2023,Q3,204.5,182.4,155.1,149.4,138.2,187.5,145.7,184.0
27,2023,Q4,206.6,183.6,157.2,149.5,139.7,189.2,146.2,185.6
28,2024,Q1,205.5,183.3,156.7,148.4,137.8,188.6,144.8,184.9
29,2024,Q2,209.9,189.3,160.7,151.3,139.4,193.6,147.4,189.8
30,2024,Q3,216.4,194.8,166.0,154.5,140.5,199.5,150.1,195.4
