Table 210-06103 : Unemployment rate and underemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2)
,,,(%),(%),(%),(%),(%),(%)
Year / Moving 3-month period,,Age group,,,,,,
2017,,15 - 19,12.3,2.2,10,[*7],11.1,1.8
2017,,20 - 29,6.5,1.9,4.9,1,5.7,1.4
2017,,30 - 39,2.4,1.2,2,0.3,2.2,0.7
2017,,40 - 49,2.6,1.6,2.4,0.5,2.5,1
2017,,50 - 59,3,2.1,2.6,0.7,2.9,1.4
2017,,60 and over,2.4,1.7,2,0.7,2.3,1.4
2018,,15 - 19,11.4,[*7],9.2,[*7],10.3,1
2018,,20 - 29,6.5,1.9,4.5,0.9,5.5,1.4
2018,,30 - 39,2.3,1.2,1.7,0.3,1.9,0.7
2018,,40 - 49,2.5,1.3,2,0.5,2.2,0.9
2018,,50 - 59,2.8,2,2.1,0.7,2.5,1.4
2018,,60 and over,2.1,1.6,1.6,0.6,1.9,1.3
2019,,15 - 19,11.9,[*7],8.1,[*7],10.1,0.9
2019,,20 - 29,6.8,1.7,4.1,0.8,5.4,1.2
2019,,30 - 39,2.6,1,1.7,0.3,2.1,0.6
2019,,40 - 49,2.7,1.5,1.9,0.5,2.3,1
2019,,50 - 59,3.3,2,2,0.8,2.7,1.5
2019,,60 and over,2.6,1.5,1.8,0.5,2.3,1.2
2020,,15 - 19,22.7,4,15.2,6.5,19,5.2
2020,,20 - 29,11.7,3.8,8.1,3.4,9.8,3.6
2020,,30 - 39,5.1,3.3,3.5,1.9,4.2,2.6
2020,,40 - 49,5.5,3.6,3.9,2.6,4.7,3.1
2020,,50 - 59,7.2,4.5,4.6,3.3,6,3.9
2020,,60 and over,5.6,4,4.2,3.6,5.1,3.9
2021,,15 - 19,19.2,4.6,12.3,2.7,15.6,3.6
2021,,20 - 29,9.8,3.3,6.6,2.2,8.1,2.7
2021,,30 - 39,4.8,2.5,3.2,1.6,3.9,2
2021,,40 - 49,5.2,2.7,3.6,1.8,4.3,2.2
2021,,50 - 59,6.4,3.7,4.6,2.8,5.5,3.3
2021,,60 and over,5.1,2.9,3.7,2.6,4.6,2.8
2022,,15 - 19,17.2,[*7],14.4,2.5,15.7,2.4
2022,,20 - 29,8.4,2.8,6,1.9,7.2,2.3
2022,,30 - 39,4.1,2.3,2.6,1.4,3.3,1.8
2022,,40 - 49,4.1,2.4,2.9,1.7,3.5,2
2022,,50 - 59,5.3,3.7,3.7,2.3,4.5,3
2022,,60 and over,4.4,2.8,3,2.7,3.9,2.7
2023,,15 - 19,11.5,2.3,7.6,[*7],9.6,1.6
2023,,20 - 29,6.6,1.6,5.1,0.9,5.8,1.2
2023,,30 - 39,2.9,1.1,1.7,0.4,2.3,0.7
2023,,40 - 49,2.8,1.5,2,0.6,2.3,1
2023,,50 - 59,3.5,1.9,2.2,0.8,2.8,1.4
2023,,60 and over,2.5,1.4,1.8,0.8,2.2,1.2
1/2017 - 3/2017,,15 - 19,13.2,[*7],10.5,[*7],11.9,[*7]
1/2017 - 3/2017,,20 - 29,6.5,1.7,4.3,1.3,5.4,1.5
1/2017 - 3/2017,,30 - 39,2.5,1.3,1.9,0.4,2.1,0.8
1/2017 - 3/2017,,40 - 49,2.7,2,2.5,0.6,2.6,1.3
1/2017 - 3/2017,,50 - 59,3.5,2,3.3,0.7,3.4,1.4
1/2017 - 3/2017,,60 and over,2.7,1.8,1.2,0.6,2.2,1.4
4/2017 - 6/2017,,15 - 19,14.9,[*7],11.1,[*7],13,[*7]
4/2017 - 6/2017,,20 - 29,6.4,1.7,4.6,1,5.4,1.3
4/2017 - 6/2017,,30 - 39,2.4,1.1,2.1,0.4,2.2,0.7
4/2017 - 6/2017,,40 - 49,3,1.6,2.7,0.5,2.8,1
4/2017 - 6/2017,,50 - 59,3,2.1,2.4,0.9,2.8,1.6
4/2017 - 6/2017,,60 and over,2.6,1.8,2.4,1,2.5,1.6
7/2017 - 9/2017,,15 - 19,9.6,[*7],10.7,[*7],10.2,1.7
7/2017 - 9/2017,,20 - 29,7.7,2.1,6.3,1.1,7,1.6
7/2017 - 9/2017,,30 - 39,2.7,1.2,1.7,0.2,2.2,0.6
7/2017 - 9/2017,,40 - 49,2.6,1.7,2.5,0.3,2.5,0.9
7/2017 - 9/2017,,50 - 59,2.7,2,2,0.5,2.4,1.4
7/2017 - 9/2017,,60 and over,2.1,1.9,2.8,0.6,2.4,1.5
10/2017 - 12/2017,,15 - 19,11.8,3.6,9.9,[*7],10.8,2.9
10/2017 - 12/2017,,20 - 29,5.8,1.9,4.8,0.8,5.3,1.3
10/2017 - 12/2017,,30 - 39,1.9,1.1,1.8,0.4,1.9,0.7
10/2017 - 12/2017,,40 - 49,2.1,1.2,2,0.4,2.1,0.7
10/2017 - 12/2017,,50 - 59,3,2.4,2.2,0.6,2.6,1.6
10/2017 - 12/2017,,60 and over,2.1,1.4,1.9,0.5,2,1.1
1/2018 - 3/2018,,15 - 19,10.9,[*7],8.5,[*7],9.6,[*7]
1/2018 - 3/2018,,20 - 29,6.6,1.5,4.2,0.7,5.3,1.1
1/2018 - 3/2018,,30 - 39,2.4,1.1,1.6,0.3,1.9,0.7
1/2018 - 3/2018,,40 - 49,2.4,1.2,1.9,0.4,2.1,0.8
1/2018 - 3/2018,,50 - 59,2.9,1.8,2.2,0.6,2.6,1.3
1/2018 - 3/2018,,60 and over,2.5,1.7,1.2,0.4,2,1.3
4/2018 - 6/2018,,15 - 19,12.8,[*7],11.8,[*7],12.2,1.6
4/2018 - 6/2018,,20 - 29,6.2,1.4,4.5,0.8,5.3,1.1
4/2018 - 6/2018,,30 - 39,2.4,1,1.8,0.3,2.1,0.6
4/2018 - 6/2018,,40 - 49,2.6,1.2,1.8,0.5,2.2,0.8
4/2018 - 6/2018,,50 - 59,2.9,2.1,2.1,0.9,2.5,1.6
4/2018 - 6/2018,,60 and over,1.7,1.6,2,0.6,1.8,1.3
7/2018 - 9/2018,,15 - 19,12.3,[*7],9.3,[*7],10.6,[*7]
7/2018 - 9/2018,,20 - 29,7.3,2.7,5.5,1,6.3,1.8
7/2018 - 9/2018,,30 - 39,2.2,1.4,1.5,0.3,1.8,0.8
7/2018 - 9/2018,,40 - 49,2.5,1.5,2.1,0.3,2.3,0.9
7/2018 - 9/2018,,50 - 59,2.5,2.2,2,0.6,2.3,1.5
7/2018 - 9/2018,,60 and over,2.3,1.4,1.7,0.5,2.1,1.1
10/2018 - 12/2018,,15 - 19,10.9,[*7],7.1,[*7],9,[*7]
10/2018 - 12/2018,,20 - 29,6.1,2.2,3.9,0.8,5,1.5
10/2018 - 12/2018,,30 - 39,2.2,1.3,1.5,0.4,1.8,0.8
10/2018 - 12/2018,,40 - 49,2.3,1.3,1.9,0.5,2.1,0.9
10/2018 - 12/2018,,50 - 59,3,1.7,2,1,2.5,1.4
10/2018 - 12/2018,,60 and over,2.1,1.8,1.3,0.4,1.9,1.4
1/2019 - 3/2019,,15 - 19,7.4,[*7],7.8,[*7],7.6,[*7]
1/2019 - 3/2019,,20 - 29,6.6,1.8,3.5,0.7,5,1.2
1/2019 - 3/2019,,30 - 39,2.5,1.1,1.6,0.3,2,0.7
1/2019 - 3/2019,,40 - 49,2.7,1.1,1.7,0.5,2.2,0.8
1/2019 - 3/2019,,50 - 59,3.3,1.8,1.9,0.8,2.6,1.3
1/2019 - 3/2019,,60 and over,2.6,1.2,2,[*7],2.4,0.9
4/2019 - 6/2019,,15 - 19,12.3,[*7],8,[*7],10.1,[*7]
4/2019 - 6/2019,,20 - 29,6.7,1.8,3.8,0.9,5.2,1.3
4/2019 - 6/2019,,30 - 39,2.5,1.2,1.7,0.3,2.1,0.7
4/2019 - 6/2019,,40 - 49,2.7,1.6,2,0.4,2.4,1
4/2019 - 6/2019,,50 - 59,3.2,1.9,1.9,0.8,2.6,1.4
4/2019 - 6/2019,,60 and over,2.5,1.1,1.4,0.6,2.1,0.9
7/2019 - 9/2019,,15 - 19,14.4,[*7],9.5,[*7],12.1,[*7]
7/2019 - 9/2019,,20 - 29,7.2,1.8,4.7,0.9,5.9,1.3
7/2019 - 9/2019,,30 - 39,2.7,0.8,2,0.2,2.3,0.5
7/2019 - 9/2019,,40 - 49,2.3,1.6,1.9,0.4,2.1,1
7/2019 - 9/2019,,50 - 59,3,2.1,2.1,0.6,2.6,1.4
7/2019 - 9/2019,,60 and over,2.4,1.6,1.8,0.5,2.2,1.2
10/2019 - 12/2019,,15 - 19,13.4,[*7],7.3,[*7],10.4,2.3
10/2019 - 12/2019,,20 - 29,6.7,1.4,5,0.9,5.8,1.1
10/2019 - 12/2019,,30 - 39,2.8,0.8,1.7,0.2,2.2,0.5
10/2019 - 12/2019,,40 - 49,2.9,1.9,1.7,0.6,2.3,1.2
10/2019 - 12/2019,,50 - 59,3.8,2.2,2.3,1.2,3.1,1.7
10/2019 - 12/2019,,60 and over,3.1,2.1,2,0.9,2.7,1.7
1/2020 - 3/2020,,15 - 19,16.4,[*7],9.4,10.3,12.9,7.3
1/2020 - 3/2020,,20 - 29,7.8,1.9,6,1.8,6.8,1.9
1/2020 - 3/2020,,30 - 39,4,2.2,2.3,1.2,3,1.7
1/2020 - 3/2020,,40 - 49,4.5,2.4,3.3,1.6,3.8,2
1/2020 - 3/2020,,50 - 59,4.9,3.2,3.1,2.1,4.1,2.7
1/2020 - 3/2020,,60 and over,4,3.1,3.5,2.5,3.8,2.9
4/2020 - 6/2020,,15 - 19,19.8,[*7],17.5,[*7],18.7,4.2
4/2020 - 6/2020,,20 - 29,11.7,4.6,8.3,4.7,9.9,4.7
4/2020 - 6/2020,,30 - 39,6,3.8,3.7,2.4,4.7,3
4/2020 - 6/2020,,40 - 49,5.6,3.8,4.2,3,4.8,3.4
4/2020 - 6/2020,,50 - 59,7.7,4.6,5.7,3,6.7,3.9
4/2020 - 6/2020,,60 and over,6.5,4.7,4.7,4.1,5.9,4.5
7/2020 - 9/2020,,15 - 19,29.2,[*7],22.9,6.8,26,5.1
7/2020 - 9/2020,,20 - 29,13.8,4.6,10.1,3.7,11.9,4.2
